BeginSample
	_SampleName, "Sample4.mss"
	_MethodName, "Multicycle Compression to Displacement Points.msm"
	PercentSetLoad, 0.000,  "N"
	BreakDrop, 50.0,  "%"
	BreakElongation, 2.540,  "mm"
	BreakSensitivity, 90,  "%"
	BreakThreshold, 2.224,  "N"
	CycleSavingFrequency, 1,  ""
	DataAcqRate, 10.0,  "Hz"
	EndPointBreakingAmount, 0.000,  "mm"
	Extension1, 0.000,  "mm"
	Extension2, 38.100,  "mm"
	Extension3, 44.450,  "mm"
	ExtLimitHigh, 508,  "mm"
	ExtLimitLow, -0.25,  "mm"
	GageLength, 25.557,  "mm"
	Header1, "",  ""
	Header2, "",  ""
	Header3, "",  ""
	HoldTime1, 60.000,  "s"
	HoldTime2, 0.000,  "s"
	LoadLimitHigh, 10009,  "N"
	LoadLimitLow, -4448,  "N"
	_MaxSpecimens, 999,  ""
	ModulusExt1, 30.480,  "mm"
	ModulusExt2, 45.720,  "mm"
	NumCycles, 1,  ""
	PerformPreLoad, "1 Yes",  ""
	PreLoad, 10.000,  "N"
	PreLoadSpeed, 5.000,  "mm/min"
	SampleInfo1, "",  ""
	SampleInfo2, "",  ""
	SampleInfo3, "",  ""
	SampleInfo4, "",  ""
	SampleInfo5, "",  ""
	SampleInfo6, "",  ""
	SampleInfo7, "",  ""
	SampleInfo8, "",  ""
	SampleInfo9, "",  ""
	SampleInfo10, "",  ""
	SampleID, "DensityGroup1TestSpeed1",  ""
	SaveFirstCycle, "1 Yes",  ""
	SaveLastCycle, "1 Yes",  ""
	SlackPreLoad, 4.448,  "N"
	SlopeSegLength, 20.000,  "%"
	StrainLimitHigh, 10,  "mm/mm"
	StrainLimitLow, -10,  "mm/mm"
	StressLimitHigh, 207,  "MPa"
	StressLimitLow, -207,  "MPa"
	TimeLimit, 10000,  "s"
	ZeroExtAfterPreLoad, "1 Yes",  ""
	BeginSpecimen
		Endpoint1, 0.205,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.155,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.615,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 45.516,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.615,  "mm"
		SlackVal, 0.615,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			CycleChannel, SlackExt, _Load, _Time, Stress, Strain
			"", "mm", "N", "s", "MPa", "mm/mm"
			1, 0.004, 10.579, 0.140, 0.068, 0.000
			1, 0.005, 10.496, 0.300, 0.067, 0.000
			1, 0.005, 10.540, 0.400, 0.068, 0.000
			1, 0.006, 10.675, 0.500, 0.069, 0.000
			1, 0.007, 10.861, 0.600, 0.070, 0.000
			1, 0.009, 11.026, 0.700, 0.071, 0.000
			1, 0.010, 11.199, 0.800, 0.072, 0.000
			1, 0.012, 11.407, 0.900, 0.073, 0.001
			1, 0.013, 11.517, 1.000, 0.074, 0.001
			1, 0.014, 11.662, 1.100, 0.075, 0.001
			1, 0.015, 11.792, 1.200, 0.076, 0.001
			1, 0.016, 11.921, 1.300, 0.077, 0.001
			1, 0.017, 12.060, 1.400, 0.078, 0.001
			1, 0.018, 12.224, 1.500, 0.079, 0.001
			1, 0.020, 12.385, 1.600, 0.080, 0.001
			1, 0.021, 12.562, 1.700, 0.081, 0.001
			1, 0.022, 12.650, 1.800, 0.081, 0.001
			1, 0.023, 12.851, 1.900, 0.083, 0.001
			1, 0.025, 13.025, 2.000, 0.084, 0.001
			1, 0.027, 13.282, 2.100, 0.085, 0.001
			1, 0.028, 13.515, 2.200, 0.087, 0.001
			1, 0.030, 13.711, 2.300, 0.088, 0.001
			1, 0.030, 13.843, 2.400, 0.089, 0.001
			1, 0.032, 13.990, 2.500, 0.090, 0.001
			1, 0.033, 14.153, 2.600, 0.091, 0.002
			1, 0.034, 14.331, 2.700, 0.092, 0.002
			1, 0.035, 14.490, 2.800, 0.093, 0.002
			1, 0.037, 14.673, 2.900, 0.094, 0.002
			1, 0.038, 14.803, 3.000, 0.095, 0.002
			1, 0.039, 15.019, 3.100, 0.097, 0.002
			1, 0.040, 15.244, 3.200, 0.098, 0.002
			1, 0.042, 15.404, 3.300, 0.099, 0.002
			1, 0.043, 15.695, 3.400, 0.101, 0.002
			1, 0.045, 15.931, 3.500, 0.102, 0.002
			1, 0.047, 16.274, 3.600, 0.105, 0.002
			1, 0.048, 16.438, 3.700, 0.106, 0.002
			1, 0.049, 16.577, 3.800, 0.107, 0.002
			1, 0.050, 16.710, 3.900, 0.107, 0.002
			1, 0.052, 16.921, 4.000, 0.109, 0.002
			1, 0.053, 17.061, 4.100, 0.110, 0.002
			1, 0.054, 17.302, 4.200, 0.111, 0.003
			1, 0.055, 17.471, 4.300, 0.112, 0.003
			1, 0.057, 17.672, 4.400, 0.114, 0.003
			1, 0.057, 17.833, 4.500, 0.115, 0.003
			1, 0.059, 18.094, 4.600, 0.116, 0.003
			1, 0.060, 18.336, 4.700, 0.118, 0.003
			1, 0.062, 18.600, 4.800, 0.120, 0.003
			1, 0.064, 18.874, 4.900, 0.121, 0.003
			1, 0.065, 19.128, 5.000, 0.123, 0.003
			1, 0.067, 19.253, 5.100, 0.124, 0.003
			1, 0.067, 19.436, 5.200, 0.125, 0.003
			1, 0.068, 19.608, 5.300, 0.126, 0.003
			1, 0.070, 19.794, 5.400, 0.127, 0.003
			1, 0.071, 20.049, 5.500, 0.129, 0.003
			1, 0.072, 20.237, 5.600, 0.130, 0.003
			1, 0.073, 20.423, 5.700, 0.131, 0.003
			1, 0.075, 20.672, 5.800, 0.133, 0.004
			1, 0.076, 20.831, 5.900, 0.134, 0.004
			1, 0.078, 21.117, 6.000, 0.136, 0.004
			1, 0.080, 21.421, 6.100, 0.138, 0.004
			1, 0.081, 21.671, 6.200, 0.139, 0.004
			1, 0.082, 21.935, 6.300, 0.141, 0.004
			1, 0.083, 22.115, 6.400, 0.142, 0.004
			1, 0.085, 22.306, 6.500, 0.143, 0.004
			1, 0.086, 22.482, 6.600, 0.145, 0.004
			1, 0.087, 22.657, 6.700, 0.146, 0.004
			1, 0.088, 22.882, 6.800, 0.147, 0.004
			1, 0.090, 23.134, 6.900, 0.149, 0.004
